,time_in,sample_receipt_in,sample_receipt_out,sample_prep_auto_in,sample_prep_auto_out,sample_prep_manual_in,sample_prep_manual_out,sample_heat_in,sample_heat_out,rna_extraction_in,rna_extraction_out,pcr_prep_in,pcr_prep_out,pcr_in,pcr_out,data_analysis_in,data_analysis_out,priority
131,5760,0.0,23.64039152414807,,,24.0,368.05018050994386,372.0,467.38688701065803,502.0,628.2500643942749,630.0,669.5559989758895,670.0,775.3031006418341,776.0,786.3186467137239,1
132,5760,0.0,23.64039152414807,,,24.0,368.05018050994386,372.0,467.38688701065803,518.0,641.4876562745349,643.0,679.6885495481101,680.0,791.0066703221446,792.0,804.2825501736243,1
133,5760,0.0,25.979846170117526,,,26.0,586.5089103647888,592.0,682.6909732638451,727.0,856.294174439884,858.0,896.6862306629655,897.0,1008.4236187654842,1009.0,1019.3784378917717,1
134,5760,0.0,25.979846170117526,,,26.0,586.5089103647888,592.0,682.6909732638451,734.0,860.7688201378687,862.0,903.3902948248206,904.0,1017.878613766321,1018.0,1028.817700861341,1
135,5760,23.0,46.877624976269544,,,47.0,138.22626818068602,143.0,305.0451929254532,347.0,476.8746139694076,478.0,516.5931879828477,517.0,623.7701597201967,624.0,634.2512829172938,1
136,5760,23.0,46.877624976269544,,,47.0,138.22626818068602,143.0,305.0451929254532,358.0,485.3650827693018,487.0,526.3417543327323,527.0,632.7321378662664,633.0,643.1234484638244,1
137,5760,23.0,47.85687239304934,,,48.0,166.8073554374596,178.0,220.53233548109438,238.0,362.47225918221466,364.0,403.65678168129944,404.0,513.1084755707061,514.0,524.5160568000092,1
138,5760,23.0,47.85687239304934,,,48.0,166.8073554374596,178.0,220.53233548109438,238.0,361.7248765755021,363.0,402.0444597003452,403.0,513.7015812289601,514.0,524.0582050158318,1
139,5760,24.0,47.899414535457254,,,48.0,259.86473096984446,267.0,302.931173872169,332.0,459.5852460683227,463.0,498.27716181228425,499.0,608.0248918672632,609.0,619.6072839223552,1
140,5760,24.0,47.40529186733784,,,48.0,124.88560762387351,137.0,196.47680434307858,219.0,345.2899204261048,347.0,387.369142657607,388.0,493.51144814265444,494.0,505.2226765308578,1
141,5760,24.0,47.8988509044475,,,72.0,147.6680113852981,150.0,297.94269214312044,308.0,432.9548141178366,434.0,470.34447994678067,471.0,578.0396262522008,579.0,590.0030612451701,1
142,5760,24.0,47.8988509044475,,,72.0,147.6680113852981,150.0,297.94269214312044,308.0,435.08379539006546,437.0,476.1069214378349,477.0,582.317303787072,583.0,593.9337250382678,1
143,5760,24.0,49.84637908615878,,,73.0,246.5729613767935,248.0,284.39696488602385,298.0,426.33777915392693,428.0,465.47316814778515,466.0,574.6092930864443,575.0,585.6457575559707,1
144,5760,24.0,123.35113897786414,,,125.0,221.38610344435074,229.0,354.4542909135307,368.0,493.46706699522474,502.0,540.8406477922135,541.0,652.5772056414162,653.0,663.5211246485196,1
145,5760,24.0,123.35113897786414,,,125.0,221.38610344435074,229.0,354.4542909135307,375.0,500.9924110726952,507.0,544.3743437567737,545.0,651.5605338620207,652.0,663.7128016336073,1
146,5760,26.0,343.23038949691,,,347.0,398.8226404977095,403.0,522.5594785918456,538.0,666.8418346433409,668.0,703.9100831842034,704.0,810.0721282384875,811.0,821.6568605532184,1
